miR_ID,mRNA_ID
hsa-miR-199a-5p,NM_001168319
hsa-miR-155-5p,NM_001168319
hsa-miR-1,NM_001168319
hsa-miR-155-5p,NM_004427
hsa-miR-218-5p,NM_004428
hsa-miR-210-3p,NM_004952
hsa-miR-124-3p,NM_004429
hsa-miR-204-5p,NM_004093
hsa-miR-20b-5p,NM_004093
hsa-miR-183-5p,NM_001964
hsa-miR-150-5p,NM_000399
hsa-miR-26b-5p,NM_004431
hsa-miR-15b-5p,NM_001204510
hsa-miR-21-5p,NM_001967
hsa-miR-145-5p,NM_001130678
hsa-miR-141-3p,NM_001130678
hsa-miR-519a-3p,NM_001419
hsa-miR-519c-3p,NM_001419
hsa-miR-519b-3p,NM_001419
hsa-miR-125a-5p,NM_001419
hsa-miR-375,NM_001144774
hsa-miR-5787,NM_001243080
hsa-miR-124-3p,NM_005230
hsa-miR-150-5p,NM_001429
hsa-miR-185-5p,NM_001430
hsa-miR-20b-5p,NM_004444
hsa-miR-302d-3p,NM_001042599
hsa-miR-19a-3p,NM_001042599
hsa-miR-372-3p,NM_001042599
hsa-miR-146a-5p,NM_001042599
hsa-miR-192-5p,NM_000122
hsa-miR-192-5p,NM_005236
hsa-miR-206,NM_000125
hsa-miR-29b-3p,NM_000125
hsa-miR-193b-3p,NM_000125
hsa-miR-18b-5p,NM_000125
hsa-miR-221-3p,NM_000125
hsa-miR-22-3p,NM_000125
hsa-miR-19a-3p,NM_000125
hsa-miR-222-3p,NM_000125
hsa-miR-19b-3p,NM_000125
hsa-miR-18a-5p,NM_000125
hsa-miR-130a-3p,NM_000125
hsa-miR-26a-5p,NM_000125
hsa-miR-20b-5p,NM_000125
hsa-miR-302c-3p,NM_000125
hsa-miR-155-5p,NM_001143820
hsa-miR-9-5p,NM_001143820
hsa-miR-222-3p,NM_001143820
hsa-miR-193b-3p,NM_001143820
hsa-miR-125b-5p,NM_001143820
hsa-miR-208a-3p,NM_001143820
hsa-miR-31-5p,NM_001143820
hsa-miR-200b-3p,NM_001143820
hsa-miR-30d-5p,NM_001203247
hsa-miR-138-5p,NM_001203247
hsa-miR-26a-5p,NM_001203247
hsa-miR-199a-5p,NM_001203247
hsa-miR-217,NM_001203247
hsa-miR-101-3p,NM_001203247
hsa-miR-214-3p,NM_001203247
hsa-miR-124-3p,NM_001203247
hsa-miR-25-3p,NM_001203247
hsa-miR-369-5p,NM_001442
hsa-miR-1,NM_004102
hsa-miR-34a-5p,NM_004458
hsa-miR-23a-3p,NM_004629
hsa-miR-29c-3p,NM_000138
hsa-miR-101-3p,NM_001999
hsa-miR-24-3p,NM_004111
hsa-miR-29a-3p,NM_001184741
hsa-miR-29b-3p,NM_001184741
hsa-miR-409-3p,NM_001184741
hsa-miR-29c-3p,NM_001184741
hsa-miR-144-3p,NM_001184741
hsa-miR-503-5p,NM_002006
hsa-miR-155-5p,NM_002009
hsa-miR-140-5p,NM_002010
